case_id,model_id,family,phase,difficulty_id,difficulty_label,output_shape_count,score_cov,score_geom,score_sem,score_global
bcc_lattice_level_1,deepseek-reasoner,BCC Lattice,2,1,Level 1 (Scale 2),35,35.0,35.0,11.0,23.0
bcc_lattice_level_2,deepseek-reasoner,BCC Lattice,2,2,Level 2 (Scale 3),91,30.0,30.0,8.0,19.0
bcc_lattice_level_3,deepseek-reasoner,BCC Lattice,2,3,Level 3 (Scale 4),320,46.0,46.0,26.0,36.0
furniture_assembly_level_1,deepseek-reasoner,Furniture Assembly,3,1,Level 1 (Scale 2),5,100.0,21.0,100.0,76.0
furniture_assembly_level_2,deepseek-reasoner,Furniture Assembly,3,2,Level 2 (Scale 3),7,100.0,21.0,100.0,76.0
furniture_assembly_level_3,deepseek-reasoner,Furniture Assembly,3,3,Level 3 (Scale 4),9,100.0,43.0,97.0,81.0
pipe_manifold_level_1,deepseek-reasoner,Pipe Manifold,3,1,Level 1 (Scale 2),7,58.0,23.0,13.0,25.0
pipe_manifold_level_2,deepseek-reasoner,Pipe Manifold,3,2,Level 2 (Scale 3),9,56.0,22.0,12.0,24.0
pipe_manifold_level_3,deepseek-reasoner,Pipe Manifold,3,3,Level 3 (Scale 5),13,54.0,25.0,8.0,22.0
axle_bearing_level_1,deepseek-reasoner,Axle Bearing,3,1,Level 1 (Scale 1),3,60.0,27.0,33.0,37.0
axle_bearing_level_2,deepseek-reasoner,Axle Bearing,3,2,Level 2 (Scale 2),3,60.0,27.0,33.0,37.0
axle_bearing_level_3,deepseek-reasoner,Axle Bearing,3,3,Level 3 (Scale 3),3,60.0,32.0,33.0,38.0
phyllotaxis_disc_level_1,deepseek-reasoner,Phyllotaxis Disc,4,1,Level 1 (Scale 21),22,100.0,100.0,100.0,100.0
phyllotaxis_disc_level_2,deepseek-reasoner,Phyllotaxis Disc,4,2,Level 2 (Scale 55),56,100.0,77.0,78.0,82.0
phyllotaxis_disc_level_3,deepseek-reasoner,Phyllotaxis Disc,4,3,Level 3 (Scale 89),90,100.0,74.0,73.0,79.0
compound_eye_level_1,deepseek-reasoner,Compound Eye,4,1,Level 1 (Scale 2),20,33.0,33.0,12.0,22.0
compound_eye_level_2,deepseek-reasoner,Compound Eye,4,2,Level 2 (Scale 3),20,18.0,18.0,3.0,10.0
compound_eye_level_3,deepseek-reasoner,Compound Eye,4,3,Level 3 (Scale 4),45,24.0,20.0,9.0,15.0
diatom_frustule_level_1,deepseek-reasoner,Diatom Frustule,4,1,Level 1 (Scale 4),23,32.0,30.0,11.0,21.0
diatom_frustule_level_2,deepseek-reasoner,Diatom Frustule,4,2,Level 2 (Scale 7),117,98.0,96.0,72.0,84.0
diatom_frustule_level_3,deepseek-reasoner,Diatom Frustule,4,3,Level 3 (Scale 10),66,39.0,29.0,11.0,22.0
honeycomb_lattice_level_1,deepseek-reasoner,Honeycomb Lattice,4,1,Level 1 (Scale 1),26,63.0,61.0,50.0,56.0
honeycomb_lattice_level_2,deepseek-reasoner,Honeycomb Lattice,4,2,Level 2 (Scale 2),0,0.0,0.0,0.0,0.0
honeycomb_lattice_level_3,deepseek-reasoner,Honeycomb Lattice,4,3,Level 3 (Scale 3),0,0.0,0.0,0.0,0.0
armillary_sphere_level_1,deepseek-reasoner,Armillary Sphere,3,1,Level 1 (Scale 2),20,100.0,100.0,100.0,100.0
armillary_sphere_level_2,deepseek-reasoner,Armillary Sphere,3,2,Level 2 (Scale 3),36,100.0,100.0,100.0,100.0
armillary_sphere_level_3,deepseek-reasoner,Armillary Sphere,3,3,Level 3 (Scale 4),52,100.0,100.0,100.0,100.0
vertebral_column_level_1,deepseek-reasoner,Vertebral Column,4,1,Level 1 (Scale 7),40,100.0,52.0,73.0,65.0
vertebral_column_level_2,deepseek-reasoner,Vertebral Column,4,2,Level 2 (Scale 12),25,36.0,27.0,14.0,14.0
vertebral_column_level_3,deepseek-reasoner,Vertebral Column,4,3,Level 3 (Scale 19),0,0.0,0.0,0.0,0.0
flanged_pipe_joint_level_1,deepseek-reasoner,Flanged Pipe Joint,1,1,Level 1 (Scale 4),4,33.0,33.0,8.0,13.0
flanged_pipe_joint_level_2,deepseek-reasoner,Flanged Pipe Joint,1,2,Level 2 (Scale 8),8,40.0,38.0,13.0,17.0
flanged_pipe_joint_level_3,deepseek-reasoner,Flanged Pipe Joint,1,3,Level 3 (Scale 16),16,44.0,44.0,18.0,22.0
ball_bearing_assembly_level_1,deepseek-reasoner,Ball Bearing Assembly,2,1,Level 1 (Scale 6),6,75.0,75.0,47.0,53.0
ball_bearing_assembly_level_2,deepseek-reasoner,Ball Bearing Assembly,2,2,Level 2 (Scale 12),14,100.0,100.0,100.0,100.0
ball_bearing_assembly_level_3,deepseek-reasoner,Ball Bearing Assembly,2,3,Level 3 (Scale 20),20,91.0,91.0,72.0,77.0
clock_tower_mechanism_level_1,deepseek-reasoner,Clock Tower Mechanism,3,1,Level 1 (Scale 4),8,67.0,30.0,27.0,26.0
clock_tower_mechanism_level_2,deepseek-reasoner,Clock Tower Mechanism,3,2,Level 2 (Scale 12),16,80.0,34.0,39.0,36.0
clock_tower_mechanism_level_3,deepseek-reasoner,Clock Tower Mechanism,3,3,Level 3 (Scale 24),28,88.0,36.0,46.0,42.0
gantry_crane_assembly_level_1,deepseek-reasoner,Gantry Crane Assembly,3,1,Level 1 (Scale 2),16,94.0,53.0,52.0,52.0
gantry_crane_assembly_level_2,deepseek-reasoner,Gantry Crane Assembly,3,2,Level 2 (Scale 4),23,92.0,75.0,83.0,78.0
gantry_crane_assembly_level_3,deepseek-reasoner,Gantry Crane Assembly,3,3,Level 3 (Scale 6),32,97.0,51.0,51.0,52.0
cochlear_spiral_level_1,deepseek-reasoner,Cochlear Spiral,4,1,Level 1 (Scale 12),24,86.0,86.0,71.0,73.0
cochlear_spiral_level_2,deepseek-reasoner,Cochlear Spiral,4,2,Level 2 (Scale 24),48,92.0,92.0,83.0,84.0
cochlear_spiral_level_3,deepseek-reasoner,Cochlear Spiral,4,3,Level 3 (Scale 36),0,0.0,0.0,0.0,0.0
radiolarian_skeleton_level_1,deepseek-reasoner,Radiolarian Skeleton,4,1,Level 1 (Scale 1),55,100.0,60.0,100.0,85.0
radiolarian_skeleton_level_2,deepseek-reasoner,Radiolarian Skeleton,4,2,Level 2 (Scale 2),0,0.0,0.0,0.0,0.0
radiolarian_skeleton_level_3,deepseek-reasoner,Radiolarian Skeleton,4,3,Level 3 (Scale 3),222,28.0,19.0,6.0,8.0
spiral_staircase_level_1,claude-sonnet-4-6,Spiral Staircase,1,1,Level 1 (Scale 10),11,100.0,14.0,17.0,29.0
spiral_staircase_level_2,claude-sonnet-4-6,Spiral Staircase,1,2,Level 2 (Scale 24),25,100.0,19.0,33.0,42.0
spiral_staircase_level_3,claude-sonnet-4-6,Spiral Staircase,1,3,Level 3 (Scale 50),51,100.0,37.0,36.0,49.0
cannonball_pyramid_level_1,claude-sonnet-4-6,Cannonball Pyramid,1,1,Level 1 (Scale 3),10,100.0,100.0,100.0,100.0
cannonball_pyramid_level_2,claude-sonnet-4-6,Cannonball Pyramid,1,2,Level 2 (Scale 4),20,100.0,100.0,100.0,100.0
cannonball_pyramid_level_3,claude-sonnet-4-6,Cannonball Pyramid,1,3,Level 3 (Scale 5),35,100.0,100.0,100.0,100.0
voxel_grid_level_1,claude-sonnet-4-6,Voxel Grid,1,1,Level 1 (Scale 2),8,100.0,100.0,100.0,100.0
voxel_grid_level_2,claude-sonnet-4-6,Voxel Grid,1,2,Level 2 (Scale 3),27,100.0,100.0,100.0,100.0
voxel_grid_level_3,claude-sonnet-4-6,Voxel Grid,1,3,Level 3 (Scale 4),64,100.0,100.0,100.0,100.0
domino_ring_level_1,claude-sonnet-4-6,Domino Ring,1,1,Level 1 (Scale 5),15,100.0,60.0,79.0,78.0
domino_ring_level_2,claude-sonnet-4-6,Domino Ring,1,2,Level 2 (Scale 10),30,100.0,51.0,72.0,71.0
domino_ring_level_3,claude-sonnet-4-6,Domino Ring,1,3,Level 3 (Scale 20),60,100.0,53.0,76.0,74.0
dna_helix_level_1,claude-sonnet-4-6,DNA Helix,1,1,Level 1 (Scale 5),15,100.0,78.0,100.0,93.0
dna_helix_level_2,claude-sonnet-4-6,DNA Helix,1,2,Level 2 (Scale 10),30,100.0,75.0,100.0,92.0
dna_helix_level_3,claude-sonnet-4-6,DNA Helix,1,3,Level 3 (Scale 20),60,100.0,76.0,100.0,93.0
suspension_bridge_level_1,claude-sonnet-4-6,Suspension Bridge,2,1,Level 1 (Scale 5),11,85.0,81.0,77.0,80.0
suspension_bridge_level_2,claude-sonnet-4-6,Suspension Bridge,2,2,Level 2 (Scale 10),21,91.0,86.0,87.0,88.0
suspension_bridge_level_3,claude-sonnet-4-6,Suspension Bridge,2,3,Level 3 (Scale 20),41,95.0,95.0,95.0,95.0
planetary_array_level_1,claude-sonnet-4-6,Planetary Array,2,1,Level 1 (Scale 6),7,100.0,100.0,100.0,100.0
planetary_array_level_2,claude-sonnet-4-6,Planetary Array,2,2,Level 2 (Scale 12),13,100.0,100.0,100.0,100.0
planetary_array_level_3,claude-sonnet-4-6,Planetary Array,2,3,Level 3 (Scale 18),19,100.0,89.0,97.0,95.0
cross_braced_truss_level_1,claude-sonnet-4-6,Cross-Braced Truss,2,1,Level 1 (Scale 2),24,100.0,40.0,50.0,57.0
cross_braced_truss_level_2,claude-sonnet-4-6,Cross-Braced Truss,2,2,Level 2 (Scale 4),48,100.0,40.0,67.0,66.0
cross_braced_truss_level_3,claude-sonnet-4-6,Cross-Braced Truss,2,3,Level 3 (Scale 8),96,100.0,100.0,100.0,100.0
fractal_y_tree_level_1,claude-sonnet-4-6,Fractal Y-Tree,2,1,Level 1 (Scale 2),7,100.0,76.0,100.0,93.0
fractal_y_tree_level_2,claude-sonnet-4-6,Fractal Y-Tree,2,2,Level 2 (Scale 3),15,100.0,66.0,96.0,88.0
fractal_y_tree_level_3,claude-sonnet-4-6,Fractal Y-Tree,2,3,Level 3 (Scale 4),31,100.0,51.0,94.0,82.0
bcc_lattice_level_1,claude-sonnet-4-6,BCC Lattice,2,1,Level 1 (Scale 2),99,100.0,100.0,100.0,100.0
bcc_lattice_level_2,claude-sonnet-4-6,BCC Lattice,2,2,Level 2 (Scale 3),141,46.0,40.0,26.0,34.0
bcc_lattice_level_3,claude-sonnet-4-6,BCC Lattice,2,3,Level 3 (Scale 4),178,25.0,24.0,6.0,15.0
furniture_assembly_level_1,claude-sonnet-4-6,Furniture Assembly,3,1,Level 1 (Scale 2),5,100.0,20.0,99.0,76.0
furniture_assembly_level_2,claude-sonnet-4-6,Furniture Assembly,3,2,Level 2 (Scale 3),7,100.0,21.0,100.0,76.0
furniture_assembly_level_3,claude-sonnet-4-6,Furniture Assembly,3,3,Level 3 (Scale 4),9,100.0,20.0,98.0,75.0
pipe_manifold_level_1,claude-sonnet-4-6,Pipe Manifold,3,1,Level 1 (Scale 2),12,100.0,42.0,98.0,82.0
pipe_manifold_level_2,claude-sonnet-4-6,Pipe Manifold,3,2,Level 2 (Scale 3),9,56.0,23.0,9.0,23.0
pipe_manifold_level_3,claude-sonnet-4-6,Pipe Manifold,3,3,Level 3 (Scale 5),24,100.0,45.0,47.0,57.0
axle_bearing_level_1,claude-sonnet-4-6,Axle Bearing,3,1,Level 1 (Scale 1),5,100.0,56.0,95.0,84.0
axle_bearing_level_2,claude-sonnet-4-6,Axle Bearing,3,2,Level 2 (Scale 2),5,100.0,54.0,95.0,84.0
axle_bearing_level_3,claude-sonnet-4-6,Axle Bearing,3,3,Level 3 (Scale 3),5,100.0,55.0,95.0,84.0
phyllotaxis_disc_level_1,claude-sonnet-4-6,Phyllotaxis Disc,4,1,Level 1 (Scale 21),22,100.0,72.0,75.0,79.0
phyllotaxis_disc_level_2,claude-sonnet-4-6,Phyllotaxis Disc,4,2,Level 2 (Scale 55),56,100.0,67.0,80.0,80.0
phyllotaxis_disc_level_3,claude-sonnet-4-6,Phyllotaxis Disc,4,3,Level 3 (Scale 89),90,100.0,67.0,78.0,79.0
compound_eye_level_1,claude-sonnet-4-6,Compound Eye,4,1,Level 1 (Scale 2),41,68.0,47.0,50.0,53.0
compound_eye_level_2,claude-sonnet-4-6,Compound Eye,4,2,Level 2 (Scale 3),77,68.0,48.0,49.0,52.0
compound_eye_level_3,claude-sonnet-4-6,Compound Eye,4,3,Level 3 (Scale 4),55,30.0,19.0,10.0,17.0
diatom_frustule_level_1,claude-sonnet-4-6,Diatom Frustule,4,1,Level 1 (Scale 4),72,100.0,82.0,100.0,95.0
diatom_frustule_level_2,claude-sonnet-4-6,Diatom Frustule,4,2,Level 2 (Scale 7),112,93.0,78.0,89.0,86.0
diatom_frustule_level_3,claude-sonnet-4-6,Diatom Frustule,4,3,Level 3 (Scale 10),104,62.0,58.0,45.0,52.0
honeycomb_lattice_level_1,claude-sonnet-4-6,Honeycomb Lattice,4,1,Level 1 (Scale 1),41,100.0,100.0,100.0,100.0
honeycomb_lattice_level_2,claude-sonnet-4-6,Honeycomb Lattice,4,2,Level 2 (Scale 2),107,100.0,100.0,100.0,100.0
honeycomb_lattice_level_3,claude-sonnet-4-6,Honeycomb Lattice,4,3,Level 3 (Scale 3),205,98.0,87.0,97.0,94.0
armillary_sphere_level_1,claude-sonnet-4-6,Armillary Sphere,3,1,Level 1 (Scale 2),20,100.0,100.0,100.0,100.0
armillary_sphere_level_2,claude-sonnet-4-6,Armillary Sphere,3,2,Level 2 (Scale 3),36,100.0,100.0,100.0,100.0
armillary_sphere_level_3,claude-sonnet-4-6,Armillary Sphere,3,3,Level 3 (Scale 4),52,100.0,100.0,100.0,100.0
vertebral_column_level_1,claude-sonnet-4-6,Vertebral Column,4,1,Level 1 (Scale 7),34,85.0,73.0,72.0,75.0
vertebral_column_level_2,claude-sonnet-4-6,Vertebral Column,4,2,Level 2 (Scale 12),70,100.0,64.0,99.0,89.0
vertebral_column_level_3,claude-sonnet-4-6,Vertebral Column,4,3,Level 3 (Scale 19),64,57.0,39.0,32.0,39.0
flanged_pipe_joint_level_1,claude-sonnet-4-6,Flanged Pipe Joint,1,1,Level 1 (Scale 4),0,0.0,0.0,0.0,0.0
