case_id,family,phase,difficulty_id,expected_shape_count,explicit_shape_count,coordinate_vector,formula_or_assignment,trig_or_cartesian_hint,origin_axis_anchor,high_risk_flag
phyllotaxis_disc_level_2,Phyllotaxis Disc,4,2,56,0,0,0,1,1,1
phyllotaxis_disc_level_3,Phyllotaxis Disc,4,3,90,0,0,0,1,1,1
compound_eye_level_1,Compound Eye,4,1,60,1,1,0,0,1,1
compound_eye_level_2,Compound Eye,4,2,114,1,1,0,0,1,1
compound_eye_level_3,Compound Eye,4,3,186,1,1,0,0,1,1
diatom_frustule_level_1,Diatom Frustule,4,1,72,1,1,0,0,1,1
diatom_frustule_level_2,Diatom Frustule,4,2,120,1,1,0,0,1,1
diatom_frustule_level_3,Diatom Frustule,4,3,168,1,1,0,0,1,1
honeycomb_lattice_level_1,Honeycomb Lattice,4,1,41,1,1,1,1,1,1
honeycomb_lattice_level_2,Honeycomb Lattice,4,2,107,1,1,1,1,1,1
honeycomb_lattice_level_3,Honeycomb Lattice,4,3,209,1,1,1,1,1,1
armillary_sphere_level_1,Armillary Sphere,3,1,20,1,1,1,1,1,1
armillary_sphere_level_2,Armillary Sphere,3,2,36,1,1,1,1,1,1
armillary_sphere_level_3,Armillary Sphere,3,3,52,1,1,1,1,1,1
vertebral_column_level_1,Vertebral Column,4,1,40,1,1,1,1,1,1
vertebral_column_level_2,Vertebral Column,4,2,70,1,1,1,1,1,1
vertebral_column_level_3,Vertebral Column,4,3,112,1,1,1,1,1,1
flanged_pipe_joint_level_1,Flanged Pipe Joint,1,1,12,1,0,0,0,1,1
flanged_pipe_joint_level_2,Flanged Pipe Joint,1,2,20,1,0,0,0,1,1
flanged_pipe_joint_level_3,Flanged Pipe Joint,1,3,36,1,0,0,0,1,1
ball_bearing_assembly_level_1,Ball Bearing Assembly,2,1,8,1,0,0,1,1,1
ball_bearing_assembly_level_2,Ball Bearing Assembly,2,2,14,1,0,0,1,1,1
ball_bearing_assembly_level_3,Ball Bearing Assembly,2,3,22,1,0,0,1,1,1
clock_tower_mechanism_level_1,Clock Tower Mechanism,3,1,12,1,0,0,0,1,1
clock_tower_mechanism_level_2,Clock Tower Mechanism,3,2,20,1,0,0,0,1,1
clock_tower_mechanism_level_3,Clock Tower Mechanism,3,3,32,1,0,0,0,1,1
gantry_crane_assembly_level_1,Gantry Crane Assembly,3,1,17,1,0,0,0,0,1
gantry_crane_assembly_level_2,Gantry Crane Assembly,3,2,25,1,0,0,0,0,1
gantry_crane_assembly_level_3,Gantry Crane Assembly,3,3,33,1,0,0,0,0,1
cochlear_spiral_level_1,Cochlear Spiral,4,1,28,1,1,0,1,1,1
cochlear_spiral_level_2,Cochlear Spiral,4,2,52,1,1,0,1,1,1
cochlear_spiral_level_3,Cochlear Spiral,4,3,76,1,1,0,1,1,1
radiolarian_skeleton_level_1,Radiolarian Skeleton,4,1,55,1,0,0,0,1,1
radiolarian_skeleton_level_2,Radiolarian Skeleton,4,2,205,1,0,0,0,1,1
radiolarian_skeleton_level_3,Radiolarian Skeleton,4,3,805,1,0,0,0,1,1
